tripid,delay,src,dst,city_dst,state_dst
1011158,-5,SAN,IAH,Houston,TX
1011516,-8,SAN,IAH,Houston,TX
1010937,16,SAN,IAH,Houston,TX
1010702,1,SAN,IAH,Houston,TX
1010620,3,SAN,IAH,Houston,TX
1020620,1,SAN,IAH,Houston,TX
1021507,10,SAN,IAH,Houston,TX
1020814,-3,SAN,IAH,Houston,TX
1021158,0,SAN,IAH,Houston,TX
1020937,-4,SAN,IAH,Houston,TX
1020702,21,SAN,IAH,Houston,TX
1030620,0,SAN,IAH,Houston,TX
1031158,111,SAN,IAH,Houston,TX
1030814,78,SAN,IAH,Houston,TX
1031516,23,SAN,IAH,Houston,TX
1030937,3,SAN,IAH,Houston,TX
1030705,0,SAN,IAH,Houston,TX
1041158,1,SAN,IAH,Houston,TX
1041516,0,SAN,IAH,Houston,TX
1040814,2,SAN,IAH,Houston,TX
1040620,0,SAN,IAH,Houston,TX
1040937,3,SAN,IAH,Houston,TX
1050937,-5,SAN,IAH,Houston,TX
1050620,27,SAN,IAH,Houston,TX
1050814,-1,SAN,IAH,Houston,TX
1051158,4,SAN,IAH,Houston,TX
1051516,58,SAN,IAH,Houston,TX
1050705,6,SAN,IAH,Houston,TX
1060814,18,SAN,IAH,Houston,TX
1061158,6,SAN,IAH,Houston,TX
1060620,0,SAN,IAH,Houston,TX
1061516,6,SAN,IAH,Houston,TX
1060937,-1,SAN,IAH,Houston,TX
1060702,1,SAN,IAH,Houston,TX
1071141,8,SAN,IAH,Houston,TX
1071514,2,SAN,IAH,Houston,TX
1070850,-1,SAN,IAH,Houston,TX
1070618,28,SAN,IAH,Houston,TX
1080618,-5,SAN,IAH,Houston,TX
1081141,4,SAN,IAH,Houston,TX
1081514,17,SAN,IAH,Houston,TX
1080850,11,SAN,IAH,Houston,TX
1091141,1,SAN,IAH,Houston,TX
1090850,-5,SAN,IAH,Houston,TX
1091514,-3,SAN,IAH,Houston,TX
1090618,-2,SAN,IAH,Houston,TX
1101141,25,SAN,IAH,Houston,TX
1100850,6,SAN,IAH,Houston,TX
1101514,0,SAN,IAH,Houston,TX
1100618,-7,SAN,IAH,Houston,TX
1111141,11,SAN,IAH,Houston,TX
1110618,-3,SAN,IAH,Houston,TX
1111514,-3,SAN,IAH,Houston,TX
1110850,-1,SAN,IAH,Houston,TX
1121141,13,SAN,IAH,Houston,TX
1120618,6,SAN,IAH,Houston,TX
1120850,6,SAN,IAH,Houston,TX
1121515,6,SAN,IAH,Houston,TX
1131141,-2,SAN,IAH,Houston,TX
1130850,1,SAN,IAH,Houston,TX
1131514,-10,SAN,IAH,Houston,TX
1130618,5,SAN,IAH,Houston,TX
1141141,13,SAN,IAH,Houston,TX
1141514,-7,SAN,IAH,Houston,TX
1140618,-8,SAN,IAH,Houston,TX
1140850,-4,SAN,IAH,Houston,TX
1151141,-4,SAN,IAH,Houston,TX
1151514,-6,SAN,IAH,Houston,TX
1150618,9,SAN,IAH,Houston,TX
1150850,-3,SAN,IAH,Houston,TX
1161141,-2,SAN,IAH,Houston,TX
1160850,1,SAN,IAH,Houston,TX
1161514,3,SAN,IAH,Houston,TX
1160618,-7,SAN,IAH,Houston,TX
1171141,6,SAN,IAH,Houston,TX
1170850,-4,SAN,IAH,Houston,TX
1171514,3,SAN,IAH,Houston,TX
1170618,-5,SAN,IAH,Houston,TX
1181141,12,SAN,IAH,Houston,TX
1181514,-6,SAN,IAH,Houston,TX
1180850,-1,SAN,IAH,Houston,TX
1180618,12,SAN,IAH,Houston,TX
1191141,-7,SAN,IAH,Houston,TX
1190618,-6,SAN,IAH,Houston,TX
1190850,-4,SAN,IAH,Houston,TX
1191515,14,SAN,IAH,Houston,TX
1201141,-1,SAN,IAH,Houston,TX
1200850,8,SAN,IAH,Houston,TX
1201514,0,SAN,IAH,Houston,TX
1200618,-1,SAN,IAH,Houston,TX
1211141,-2,SAN,IAH,Houston,TX
1211514,-3,SAN,IAH,Houston,TX
1210618,3,SAN,IAH,Houston,TX
1210850,2,SAN,IAH,Houston,TX
1221141,41,SAN,IAH,Houston,TX
1221514,-2,SAN,IAH,Houston,TX
1220618,-5,SAN,IAH,Houston,TX
1220850,-1,SAN,IAH,Houston,TX
1231141,-3,SAN,IAH,Houston,TX
1230850,-2,SAN,IAH,Houston,TX
1231514,0,SAN,IAH,Houston,TX
1230618,-1,SAN,IAH,Houston,TX
1241141,-1,SAN,IAH,Houston,TX
1240850,4,SAN,IAH,Houston,TX
1241514,-2,SAN,IAH,Houston,TX
1240618,0,SAN,IAH,Houston,TX
1251141,2,SAN,IAH,Houston,TX
1251514,-12,SAN,IAH,Houston,TX
1250850,106,SAN,IAH,Houston,TX
1250618,-5,SAN,IAH,Houston,TX
1261141,0,SAN,IAH,Houston,TX
1260618,30,SAN,IAH,Houston,TX
1260850,-2,SAN,IAH,Houston,TX
1261515,9,SAN,IAH,Houston,TX
1271141,6,SAN,IAH,Houston,TX
1270850,-2,SAN,IAH,Houston,TX
1271514,-1,SAN,IAH,Houston,TX
1270618,-5,SAN,IAH,Houston,TX
1281141,187,SAN,IAH,Houston,TX
1281514,130,SAN,IAH,Houston,TX
1280618,-2,SAN,IAH,Houston,TX
1280850,-3,SAN,IAH,Houston,TX
1291141,-4,SAN,IAH,Houston,TX
1291514,-7,SAN,IAH,Houston,TX
1290618,0,SAN,IAH,Houston,TX
1290850,-1,SAN,IAH,Houston,TX
1301141,-1,SAN,IAH,Houston,TX
1300850,0,SAN,IAH,Houston,TX
1301514,4,SAN,IAH,Houston,TX
1300618,2,SAN,IAH,Houston,TX
1311141,106,SAN,IAH,Houston,TX
1310850,-2,SAN,IAH,Houston,TX
1311514,1,SAN,IAH,Houston,TX
1310618,-3,SAN,IAH,Houston,TX
2011141,28,SAN,IAH,Houston,TX
2011514,195,SAN,IAH,Houston,TX
2010850,-1,SAN,IAH,Houston,TX
2010618,6,SAN,IAH,Houston,TX
2021141,5,SAN,IAH,Houston,TX
2020844,2,SAN,IAH,Houston,TX
